ID,School,Prompt title,Proposed primary,Secondary 1,Secondary 2,Secondary 3,Your primary override,Your secondary 1,Your secondary 2,Your secondary 3,Review status,Your notes,Final primary,Final secondary 1,Final secondary 2,Final secondary 3,Why I categorized it this way,Full written prompt,Word limit,Original category,Existing note,Reuse group,Campus count / duplicates,Changed from original?
136,University of Pennsylvania,School-specific: Nursing,Why Major,Why Us,Contribution,Goals & Future,,,,,,,Why Major,Why Us,Contribution,Goals & Future,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Why Us, Contribution, Goals & Future.","Penn Nursing intends to meet the health needs of society in a global and multicultural world by preparing its students to impact healthcare by advancing science. Why are you applying to Nursing, where do you see yourself professionally in the future, and how will you contribute to our mission of promoting equity in healthcare?",200w,Why Us,,RG-136,1,Yes
137,University of Michigan,Specific undergraduate school or college,Why Us,Why Major,,,,,,,,,Why Us,Why Major,,,"Primarily asks why this college, program, community, or set of opportunities fits you. Secondary overlap: Why Major.",Describe the unique qualities that attract you to the specific undergraduate college or school (including preferred admission and dual degree programs) to which you are applying at the University of Michigan. How would that curriculum support your interests?,550w,Why Us,,RG-137,1,No
138,Rice University,The Rice experience,Why Us,,,,,,,,,,Why Us,,,,"Primarily asks why this college, program, community, or set of opportunities fits you.","Based upon your exploration of Rice University, what elements of the Rice experience appeal to you?",150w,Why Us,,RG-138,1,No
139,Harvard University,Using your Harvard education,Other,Goals & Future,Contribution,,,,,,,,Other,Goals & Future,Contribution,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Goals & Future, Contribution.",How do you hope to use your Harvard education in the future?,150w,Why Us,,RG-139,1,Yes
140,University of Pennsylvania,VIC: Visual and Interactive Computing,Why Major,Why Us,,,,,,,,,Why Major,Why Us,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Why Us.",Discuss how your interests align with the Visual and Interactive Computing (VIC) program at the University of Pennsylvania.,650w **[hand-classified]**,Why Us,,RG-140,1,Yes
141,Villanova University,Villanova as your new home,Why Us,,,,,,,,,,Why Us,,,,"Primarily asks why this college, program, community, or set of opportunities fits you.","""Villanova"" means ""new home."" Why do you want to call Villanova your new home?",no limit,Why Us,,RG-141,1,No
142,Claremont McKenna College,Why Claremont McKenna,Why Us,,,,,,,,,,Why Us,,,,"Primarily asks why this college, program, community, or set of opportunities fits you.","CMC’s mission is to prepare students for thoughtful and productive lives and responsible leadership in business, government, and the professions. With this mission in mind, please explain why you want to attend Claremont McKenna College.",no limit,Why Us,,RG-142,1,No
143,Davidson College,Why Davidson,Why Us,,,,,,,,,,Why Us,,,,"Primarily asks why this college, program, community, or set of opportunities fits you.","There are just under 4,000 four-year colleges and universities in the United States. Being as specific as possible, what interests you most about Davidson College?",300w,Why Us,,RG-143,1,No
144,Duke University,Why Duke,Why Us,Why Major,Values,,,,,,,,Why Us,Why Major,Values,,"Primarily asks why this college, program, community, or set of opportunities fits you. Secondary overlap: Why Major, Values.","What is your impression of Duke as a university and community, and why do you believe it is a good match for your goals, values, and interests? If there is something specific that attracts you to our academic offerings in Trinity College of Arts and Sciences or the Pratt School of Engineering, or to our co-curricular opportunities, feel free to include that, too.",250w,Why Us,,RG-144,1,No
145,Texas A&M University,Why Texas A&M,Why Us,,,,,,,,,,Why Us,,,,"Primarily asks why this college, program, community, or set of opportunities fits you.","We know you have a lot of options. In a few words, why did you choose to apply to Texas A&M?",100w,Why Us,,RG-145,1,No
146,University of Massachusetts Amherst,Why this major?,Why Major,,,,,,,,,,Why Major,,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it.",Please tell us: Why did you choose this major(s)?,100w,Why Us,,RG-146,1,Yes
147,University of Massachusetts Amherst,Why UMass Amherst?,Why Us,,,,,,,,,,Why Us,,,,"Primarily asks why this college, program, community, or set of opportunities fits you.",Please tell us: Why do you want to attend UMass Amherst?,100w,Why Us,,RG-147,1,No
148,Washington and Lee University,Why W&L?,Why Us,,,,,,,,,,Why Us,,,,"Primarily asks why this college, program, community, or set of opportunities fits you.","There are over 8,200 accredited colleges and universities in the U.S. alone. You have chosen to apply to Washington and Lee University. Please describe how you have familiarized yourself with W&L and what aspects of its community are most exciting to you.",250w,Why Us,,RG-148,1,No
149,Wake Forest University,Why Wake?,Why Us,,,,,,,,,,Why Us,,,,"Primarily asks why this college, program, community, or set of opportunities fits you.",Why Wake?,100w,Why Us,,RG-149,1,No
150,Pitzer College,Your college experience and Pitzer fit,Why Us,Activities & Impact,Creativity,,,,,,,,Why Us,Activities & Impact,Creativity,,"Primarily asks why this college, program, community, or set of opportunities fits you. Secondary overlap: Activities & Impact, Creativity.","At Pitzer, five core values distinguish our approach to education: social responsibility, intercultural understanding, interdisciplinary learning, student engagement, and environmental sustainability. As agents of change, our students utilize these values to create solutions to our world’s challenges. Describe what you are looking for from your college experience and why Pitzer would be a good fit for you.",650w,Why Us,,RG-150,1,No
151,Georgetown University,A differing viewpoint,Background & Identity,Disagreement,,,,,,,,,Background & Identity,Disagreement,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Disagreement.","In all our lives, we interact with people who hold different viewpoints than our own. Describe such an event you experienced. What did you learn from the experience?",250w,Personal Statement,,RG-151,1,Yes
152,Tufts University,A favorite school assignment,Other,Intellectual Curiosity,,,,,,,,,Other,Intellectual Curiosity,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Intellectual Curiosity.,Tell us about one of your favorite school assignments in the past two years. What was the assignment and why did you enjoy it?,200w,Personal Statement,,RG-152,1,Yes
153,Villanova University,A lesson in life,Other,Values,,,,,,,,,Other,Values,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Values.,What is a lesson in life that you have learned that you would want to share with others at Villanova?,no limit **[hand-classified]**,Personal Statement,,RG-153,1,Yes
154,Boston College,A meaningful conversation partner,Other,Values,Intellectual Curiosity,,,,,,,,Other,Values,Intellectual Curiosity,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Values, Intellectual Curiosity.","The late BC theology professor, Father Michael Himes, argued that a university is not a place to which you go, but instead, a ""rigorous and sustained conversation about the great questions of human existence, among the widest possible circle of the best possible conversation partners."" Who has been your most meaningful conversation partner, and what profound questions have you considered together?",400w,Personal Statement,,RG-154,1,Yes
155,Tufts University,A specific portfolio piece,Other,Creativity,,,,,,,,,Other,Creativity,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Creativity.,"Tell us more about a specific piece in your portfolio. What were the ideas you intended to explore, and how did those ideas inform the process of making the piece?",200w,Personal Statement,,RG-155,1,Yes
156,Harvard University,A strong disagreement,Background & Identity,Disagreement,,,,,,,,,Background & Identity,Disagreement,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Disagreement.",Describe a time when you strongly disagreed with someone about an idea or issue. How did you communicate or engage with this person? What did you learn from this experience?,150w,Personal Statement,,RG-156,1,Yes
157,Carnegie Mellon University,A successful college experience,Other,Values,Goals & Future,,,,,,,,Other,Values,Goals & Future,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Values, Goals & Future.","Many students pursue college for a specific degree, career opportunity or personal goal. Whichever it may be, learning will be critical to achieve your ultimate goal. As you think ahead to the process of learning during your college years, how will you define a successful college experience?",300w,Personal Statement,,RG-157,1,Yes
158,Texas A&M University,Additional context,Challenge & Growth,,,,,,,,,,Challenge & Growth,,,,"Centers a concrete obstacle, barrier, setback, uncertainty, or unexpected path and your response to it.","Are there experiences or opportunities that have shaped or influenced your abilities or academic record, which you have not already written about?",250w,Personal Statement,,RG-158,1,Yes
159,Tufts University,An engineering or science project,Other,Activities & Impact,Creativity,,,,,,,,Other,Activities & Impact,Creativity,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Activities & Impact, Creativity.","Tell us about an engineering or science-related project that you have helped build, design, create, or iterate in the past two years. What was the project and what was your role?",200w,Personal Statement,,RG-159,1,Yes
160,Wellesley College,Building bridges across perspectives,Background & Identity,Disagreement,Contribution,,,,,,,,Background & Identity,Disagreement,Contribution,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Disagreement, Contribution.","Wellesley students actively seek ways to build bridges and to change the world for the better. Tell us about an experience working with and alongside people of different backgrounds and/or perspectives from your own. Why was this important to you, and what lessons from this will you bring with you to Wellesley?",no limit,Personal Statement,,RG-160,1,Yes
161,Yale University,Choose One: an opposing view,Background & Identity,Disagreement,,,,,,,,,Background & Identity,Disagreement,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Disagreement.",Reflect on a time you discussed an issue important to you with someone holding an opposing view. Why did you find the experience meaningful?,400w,Personal Statement,,RG-161,1,Yes
162,Yale University,Choose One: personal experience,Background & Identity,Contribution,,,,,,,,,Background & Identity,Contribution,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Contribution.",Reflect on an element of your personal experience that you feel will enrich your college. How has it shaped you?,400w,Personal Statement,,RG-162,1,Yes
163,University of Notre Dame,College-search non-negotiables,Other,Why Us,Values,,,,,,,,Other,Why Us,Values,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Why Us, Values.",Everyone has different priorities when considering their higher education options and building their college or university list. Tell us about your “non-negotiable” factor(s) when searching for your future college home.,150w,Personal Statement,,RG-163,1,Yes
164,Oberlin College,Composition: aspirations,Why Major,Why Us,Goals & Future,,,,,,,,Why Major,Why Us,Goals & Future,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Why Us, Goals & Future.","Tell us about your aspirations for your creative, academic and professional trajectories. Address such questions as: Why are you pursuing a degree in composition and what do you hope to achieve at Oberlin and beyond?",1000w,Personal Statement,,RG-164,1,Yes
165,Oberlin College,Composition: development and influences,Why Major,Intellectual Curiosity,Creativity,,,,,,,,Why Major,Intellectual Curiosity,Creativity,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Intellectual Curiosity, Creativity.","Tell us about your development as a composer so far. Include in your response a discussion of composers, specific works of music, and musical styles and genres that have inspired and influenced you.",1000w,Personal Statement,,RG-165,1,Yes
166,Duke University,Difference of opinion,Background & Identity,Disagreement,,,,,,,,,Background & Identity,Disagreement,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Disagreement.",Meaningful dialogue often involves respectful disagreement. Provide an example of a difference of opinion you’ve had with someone you care about. What did you learn from it?,250w,Personal Statement,,RG-166,1,Yes
167,University of Notre Dame,Faith and decisions,Other,Values,Background & Identity,,,,,,,,Other,Values,Background & Identity,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Values, Background & Identity.",How does faith influence the decisions you make?,100w,Personal Statement,,RG-167,1,Yes
168,Stanford University,Five things that matter to you,Short Answer,Values,,,,,,,,,Short Answer,Values,,,Functions mainly as a concise personality or quick-fact response rather than a reusable essay theme. Secondary overlap: Values.,List five things that are important to you.,50w,Personal Statement,,RG-168,1,Yes
169,Stanford University,Historical moment you wish you'd witnessed,Short Answer,Intellectual Curiosity,,,,,,,,,Short Answer,Intellectual Curiosity,,,Functions mainly as a concise personality or quick-fact response rather than a reusable essay theme. Secondary overlap: Intellectual Curiosity.,What historical moment or event do you wish you could have witnessed?,50w,Personal Statement,,RG-169,1,Yes
170,Pomona College,How others would describe you,Other,Background & Identity,,,,,,,,,Other,Background & Identity,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Background & Identity.,Choose any person or group of people in your life and share how they would describe you.,250w,Personal Statement,,RG-170,1,Yes
171,University of Pennsylvania,Huntsman: Target-language experience,Why Major,Background & Identity,Intellectual Curiosity,,,,,,,,Why Major,Background & Identity,Intellectual Curiosity,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Background & Identity, Intellectual Curiosity.","Describe your experience with the target language you selected. You may wish to share the length of time you’ve studied or used this language, how you’ve learned it, the skills you’ve acquired, and/or the skills you still wish to develop. Please also explain why you are interested in studying this language and the region(s) of the world where it is spoken.",200w,Personal Statement,,RG-171,1,Yes
172,Dartmouth College,Introduce yourself,Personal Statement,,,,,,,,,,Personal Statement,,,,This is one of the rare prompts broad enough to function as a true personal statement.,"""Be yourself,"" Oscar Wilde advised. ""Everyone else is taken."" Introduce yourself.",250w,Personal Statement,,RG-172,1,No
173,Washington and Lee University,Johnson Scholarship: a work of art,Other,Intellectual Curiosity,Values,,,,,,,,Other,Intellectual Curiosity,Values,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Intellectual Curiosity, Values.","""To promote literature in this rising empire and to encourage the arts, have ever been amongst the warmest wishes of my heart” (George Washington, 1798, first president of the United States and first major benefactor of Washington and Lee University). Describe a work of art that has influenced you, and discuss the impact it has had on you.",800w,Personal Statement,,RG-173,1,Yes
174,Washington and Lee University,Johnson Scholarship: design a Spring Term course,Other,Course,Intellectual Curiosity,,,,,,,,Other,Course,Intellectual Curiosity,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Course, Intellectual Curiosity.","W&L’s Spring Term is a four-week, intensive experience during which students take only one course, allowing for undivided attention to the subject matter. Spring Term courses are known for innovative pedagogy, interdisciplinary scholarship, travel, and fieldwork in diverse settings. If you could design a Spring Term course, what would you propose, and why would you choose to pursue that topic?",800w,Personal Statement,,RG-174,1,Yes
175,University of Michigan,Leaders and citizens,Other,Contribution,Leadership,Goals & Future,,,,,,,Other,Contribution,Leadership,Goals & Future,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Contribution, Leadership, Goals & Future.","At the University of Michigan, we are focused on developing leaders and citizens who will challenge the present and enrich the future. In your essay, share with us how you are prepared to contribute to these goals. This could include the people, places, experiences, or aspirations that have shaped your journey and future plans.",300w,Personal Statement,,RG-175,1,Yes
176,University of Pennsylvania,M&T: Engineering and business perspectives,Why Us,Why Major,Goals & Future,,,,,,,,Why Us,Why Major,Goals & Future,,"Primarily asks why this college, program, community, or set of opportunities fits you. Secondary overlap: Why Major, Goals & Future.",Explain how you will use the M&T program to pursue problems or opportunities that require both engineering and business perspectives.,400w,Personal Statement,,RG-176,1,Yes
177,University of Pennsylvania,M&T: Something you built,Other,Activities & Impact,Creativity,,,,,,,,Other,Activities & Impact,Creativity,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Activities & Impact, Creativity.","Describe something you created, designed, improved, or built. What motivated you, and what did you learn from the process?",200w,Personal Statement,,RG-177,1,Yes
178,Princeton University,More About You: a new skill,Short Answer,Intellectual Curiosity,,,,,,,,,Short Answer,Intellectual Curiosity,,,Functions mainly as a concise personality or quick-fact response rather than a reusable essay theme. Secondary overlap: Intellectual Curiosity.,What is a new skill you would like to learn in college?,50w,Personal Statement,,RG-178,1,Yes
179,Georgetown University,Most significant activity,Other,Activities & Impact,,,,,,,,,Other,Activities & Impact,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Activities & Impact.,Briefly discuss the significance to you of the school or summer activity in which you have been most involved.,250w,Personal Statement,,RG-179,1,Yes
180,University of Pennsylvania,NHCM: Nursing and Healthcare Management,Why Major,Why Us,Goals & Future,,,,,,,,Why Major,Why Us,Goals & Future,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Why Us, Goals & Future.","Describe your interest in nursing and health care management, and how Penn's coordinated dual- degree program in nursing and business would help you meet your goals. Please ensure that this essay is distinct from your single-degree application, if applicable.",400w,Personal Statement,,RG-180,1,Yes
181,University of California (systemwide),PIQ 2: Creative side,Other,Creativity,,,,,,,,,Other,Creativity,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Creativity.,"Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side.",350w,Personal Statement,"One systemwide row replacing 7 identical campus entries: UC Berkeley, UC Los Angeles, UC Davis, UC Irvine, UC San Diego, UC Santa Barbara, UC Santa Cruz.",RG-181,7,Yes
182,University of California (systemwide),PIQ 3: Greatest talent or skill,Other,Activities & Impact,,,,,,,,,Other,Activities & Impact,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Activities & Impact.,What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time?,350w,Personal Statement,"One systemwide row replacing 7 identical campus entries: UC Berkeley, UC Los Angeles, UC Davis, UC Irvine, UC San Diego, UC Santa Barbara, UC Santa Cruz.",RG-182,7,Yes
183,University of California (systemwide),PIQ 8: What makes you a strong candidate,Other,,,,,,,,,,Other,,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap.,"Beyond what has already been shared in your application, what do you believe makes you a strong candidate for admissions to the University of California?",350w,Personal Statement,"One systemwide row replacing 7 identical campus entries: UC Berkeley, UC Los Angeles, UC Davis, UC Irvine, UC San Diego, UC Santa Barbara, UC Santa Cruz.",RG-183,7,Yes
184,University of Texas at Austin,School of Architecture,Why Major,Values,Goals & Future,,,,,,,,Why Major,Values,Goals & Future,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Values, Goals & Future.",Inherent in the design disciplines is the capacity to impact the world around us. What does the opportunity to develop such capacity mean to you and you approach to your college education?,300w,Personal Statement,,RG-184,1,Yes
185,University of Texas at Austin,School of Nursing,Why Major,Activities & Impact,Goals & Future,,,,,,,,Why Major,Activities & Impact,Goals & Future,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Activities & Impact, Goals & Future.",Discuss the factors that have influenced your motivation and deep desire to pursue a career in nursing. Please include any activities and/or life experiences that are related.,no limit,Personal Statement,,RG-185,1,Yes
186,Georgetown University,School-specific: Berkley School of Nursing,Why Major,Values,,,,,,,,,Why Major,Values,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Values.","Describe the factors influencing your interest in nursing, focusing on ethical, empathetic leadership formation. (Summarized from Georgetown's official page - verify exact current wording before use.)",no limit,Personal Statement,,RG-186,1,Yes
187,University of Pennsylvania,School-specific: College of Arts and Sciences,Why Major,Why Us,Intellectual Curiosity,,,,,,,,Why Major,Why Us,Intellectual Curiosity,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Why Us, Intellectual Curiosity.",The College of Arts and Sciences is designed to foster discovery and connection. Describe something you are curious about—something you'd like to learn more about or find a new approach to—and how you might pursue that curiosity in the College.,200w,Personal Statement,,RG-187,1,Yes
188,Georgetown University,School-specific: Earth Commons Institute,Why Major,Contribution,Goals & Future,,,,,,,,Why Major,Contribution,Goals & Future,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Contribution, Goals & Future.",Describe your primary motivations for studying environment and sustainability and how you hope to effect positive change. (Summarized from Georgetown's official page - verify exact current wording before use.),no limit,Personal Statement,,RG-188,1,Yes
189,Georgetown University,School-specific: McDonough School of Business,Why Major,Values,,,,,,,,,Why Major,Values,,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Values.","Describe your motivations for studying business, emphasizing global, ethical, and analytical perspectives. (Summarized from Georgetown's official page - verify exact current wording before use.)",no limit,Personal Statement,,RG-189,1,Yes
190,University of Pennsylvania,School-specific: Wharton,Why Major,Why Us,Intellectual Curiosity,,,,,,,,Why Major,Why Us,Intellectual Curiosity,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Why Us, Intellectual Curiosity.","Wharton prepares its students to make an impact by applying business methods and economic theory to real-world problems, including economic, political, and social issues. Discuss a current issue of importance to you and how you hope a Wharton education would help you explore it.",200w **[hand-classified]**,Personal Statement,,RG-190,1,Yes
191,California Institute of Technology,Scientific Drive: Making,Other,Activities & Impact,Creativity,,,,,,,,Other,Activities & Impact,Creativity,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Activities & Impact, Creativity.","Tell us about something you created, tested, repaired, modeled, coded, built, or redesigned. What problem were you trying to solve and what did the process reveal to you?",200w,Personal Statement,,RG-191,1,Yes
192,Yale University,Short Take: not included elsewhere,Short Answer,,,,,,,,,,Short Answer,,,,Functions mainly as a concise personality or quick-fact response rather than a reusable essay theme.,What is something about you that is not included anywhere else in your application?,200ch,Personal Statement,,RG-192,1,Yes
193,Yale University,"Short Take: teach, write, or create",Short Answer,Course,Creativity,,,,,,,,Short Answer,Course,Creativity,,"Functions mainly as a concise personality or quick-fact response rather than a reusable essay theme. Secondary overlap: Course, Creativity.","If you could teach any college course, write a book, or create an original piece of art of any kind, what would it be?",200ch,Personal Statement,,RG-193,1,Yes
194,Stanford University,Significant challenge society faces,Other,Values,Intellectual Curiosity,,,,,,,,Other,Values,Intellectual Curiosity,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Values, Intellectual Curiosity.",What is the most significant challenge that society faces today?,50w,Personal Statement,,RG-194,1,Yes
195,Villanova University,Someone borrowing your strength,Other,Contribution,Values,,,,,,,,Other,Contribution,Values,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Contribution, Values.","At Villanova, we often say ""each of us strengthens all of us."" Please detail a time when someone has borrowed some of your strength in their time of need.",no limit,Personal Statement,,RG-195,1,Yes
196,Massachusetts Institute of Technology,Someone you admire,Other,Values,,,,,,,,,Other,Values,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Values.,"Who is someone you admire, whether you know them personally or look up to them from afar? Tell us why.",50w,Personal Statement,,RG-196,1,Yes
197,Duke University,Something you are excited about,Short Answer,Intellectual Curiosity,,,,,,,,,Short Answer,Intellectual Curiosity,,,Functions mainly as a concise personality or quick-fact response rather than a reusable essay theme. Secondary overlap: Intellectual Curiosity.,What’s the last thing that you’ve been really excited about?,250w,Personal Statement,,RG-197,1,Yes
198,Brown University,Teach a class,Other,Course,Intellectual Curiosity,,,,,,,,Other,Course,Intellectual Curiosity,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Course, Intellectual Curiosity.","If you could teach a class on any one thing, whether academic or otherwise, what would it be?",150w,Personal Statement,,RG-198,1,Yes
199,University of Pennsylvania,Thank-you note,Other,Values,,,,,,,,,Other,Values,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Values.,"Write a short thank-you note to someone you have not yet thanked and would like to acknowledge. (We encourage you to share this note with that person, if possible, and reflect on the experience!)",200w,Personal Statement,,RG-199,1,Yes
200,Colorado College,The luxury of focus,Other,Intellectual Curiosity,Challenge & Growth,,,,,,,,Other,Intellectual Curiosity,Challenge & Growth,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Intellectual Curiosity, Challenge & Growth.","One of the benefits of Colorado College’s Block Plan is the opportunity to immerse yourself fully in a single subject for 3.5 weeks. We see this as the luxury of focus—the joy and value of directing your full attention to one thing. Tell us about a time when you experienced this kind of deep focus in an academic or extracurricular setting. What were you doing, and how did it turn out?",300w,Personal Statement,,RG-200,1,Yes
201,Bowdoin College,The Offer of the College,Other,Values,,,,,,,,,Other,Values,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Values.,"Generations of students have found connection and meaning in Bowdoin’s “The Offer of the College,” written in 1906 by Bowdoin President William DeWitt Hyde. Which line from The Offer resonates most with you?",250w **[hand-classified]**,Personal Statement,,RG-201,1,Yes
202,University of Richmond,Turn ideas into actions,Other,Activities & Impact,Contribution,Challenge & Growth,,,,,,,Other,Activities & Impact,Contribution,Challenge & Growth,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Activities & Impact, Contribution, Challenge & Growth.","Richmond students turn ideas into actions. Tell us about a time you learned by doing, making, building, testing, helping, or leading and what that experience taught you about yourself, the world, or the kind of impact you want to have.",650w,Personal Statement,,RG-202,1,Yes
203,University of Pennsylvania,VIPER: Energy science and technology,Why Major,Why Us,Goals & Future,,,,,,,,Why Major,Why Us,Goals & Future,,"Primarily centers an academic field, topic you want to learn, or why you want to study it. Secondary overlap: Why Us, Goals & Future.","Describe your interest in the VIPER program, including how any past experiences (academic, research, extracurricular, etc.) have shaped your interest in energy science and technology, and how you envision participation in VIPER fitting into your future goals.",400w,Personal Statement,,RG-203,1,Yes
204,University of Notre Dame,What would you fight for?,Other,Values,,,,,,,,,Other,Values,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Values.,What would you fight for?,100w,Personal Statement,,RG-204,1,Yes
205,Carnegie Mellon University,What you want to emphasize,Other,,,,,,,,,,Other,,,,Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap.,"Consider your application as a whole. What do you personally want to emphasize about your application for the admission committee’s consideration? Highlight something that’s important to you or something you haven’t had a chance to share. Tell us, don’t show us (no websites please).",300w,Personal Statement,,RG-205,1,Yes
206,Dartmouth College,Your environment,Community,Background & Identity,,,,,,,,,Community,Background & Identity,,,"Centers a community, home environment, or tradition that shaped you—not merely what you will add to a future campus. Secondary overlap: Background & Identity.",There is a Quaker saying: Let your life speak. Describe the environment in which you were raised and the impact it has had on the person you are today.,250w,Personal Statement,,RG-206,1,Yes
207,Massachusetts Institute of Technology,Your own trail,Challenge & Growth,Academic Context,,,,,,,,,Challenge & Growth,Academic Context,,,"Centers a concrete obstacle, barrier, setback, uncertainty, or unexpected path and your response to it. Secondary overlap: Academic Context.","While some reach their goals following well-trodden paths, others blaze their own trails achieving the unexpected. In what ways have you done something different than what was expected in your educational journey?",200w **[hand-classified]**,Personal Statement,,RG-207,1,Yes
