ID,School,External ref,Prompt title,Review status,Proposed primary,Proposed secondaries,Proposed function,Final primary,Final secondaries,Final function,Why,Word limit,Requirement,Shared with,Full written prompt
243,"University of California, Berkeley",piq-2-creativity,PIQ 2: Creative side,reviewed,Other,Creativity,describe,Other,Creativity,describe,carried over from the hand review,350w,optional,"6: University of California, Los Angeles | University of California, Davis | University of California, Irvine | University of California, San Diego | University of California, Santa Barbara | University of California, Santa Cruz","Every person has a creative side, and it can be expressed in many ways: problem solving, original and innovative thinking, and artistically, to name a few. Describe how you express your creative side."
244,"University of California, Berkeley",piq-3-talent,PIQ 3: Greatest talent or skill,reviewed,Other,Activities & Impact,explain-impact,Other,Activities & Impact,explain-impact,carried over from the hand review,350w,optional,"6: University of California, Los Angeles | University of California, Davis | University of California, Irvine | University of California, San Diego | University of California, Santa Barbara | University of California, Santa Cruz",What would you say is your greatest talent or skill? How have you developed and demonstrated that talent over time?
245,"University of California, Berkeley",piq-4-educational-opportunity,PIQ 4: Educational opportunity or barrier,reviewed,Challenge & Growth,Academic Context,demonstrate-growth,Challenge & Growth,Academic Context,demonstrate-growth,carried over from the hand review,350w,optional,"6: University of California, Los Angeles | University of California, Davis | University of California, Irvine | University of California, San Diego | University of California, Santa Barbara | University of California, Santa Cruz",Describe how you have taken advantage of a significant educational opportunity or worked to overcome an educational barrier you have faced.
246,"University of California, Berkeley",piq-5-challenge,PIQ 5: Most significant challenge,reviewed,Challenge & Growth,,demonstrate-growth,Challenge & Growth,,demonstrate-growth,carried over from the hand review,350w,optional,"6: University of California, Los Angeles | University of California, Davis | University of California, Irvine | University of California, San Diego | University of California, Santa Barbara | University of California, Santa Cruz",Describe the most significant challenge you have faced and the steps you have taken to overcome this challenge. How has this challenge affected your academic achievement?
247,"University of California, Berkeley",piq-6-academic-interest,PIQ 6: An academic subject that inspires you,reviewed,Why Major,Intellectual Curiosity,explain-impact,Why Major,Intellectual Curiosity,explain-impact,carried over from the hand review,350w,optional,"6: University of California, Los Angeles | University of California, Davis | University of California, Irvine | University of California, San Diego | University of California, Santa Barbara | University of California, Santa Cruz",Think about an academic subject that inspires you. Describe how you have furthered this interest inside and/or outside of the classroom.
248,"University of California, Berkeley",piq-7-community,PIQ 7: Made your community a better place,reviewed,Community,Activities & Impact; Contribution; Service,explain-impact,Community,Activities & Impact; Contribution; Service,explain-impact,AUDIT: what you have done to make your school or community a better place. Was Other; it names a community explicitly.,350w,optional,"6: University of California, Los Angeles | University of California, Davis | University of California, Irvine | University of California, San Diego | University of California, Santa Barbara | University of California, Santa Cruz",What have you done to make your school or your community a better place?
249,"University of California, Berkeley",piq-8-strong-candidate,PIQ 8: What makes you a strong candidate,reviewed,Other,,reflect,Other,,reflect,carried over from the hand review,350w,optional,"6: University of California, Los Angeles | University of California, Davis | University of California, Irvine | University of California, San Diego | University of California, Santa Barbara | University of California, Santa Cruz","Beyond what has already been shared in your application, what do you believe makes you a strong candidate for admission to the University of California?"
250,"University of California, Berkeley",share-with-us-the-world-you-come-from-for-example-your,"Share with us the world you come from (for example, your family",reviewed,Background & Identity,Community; Why Major; Why Us,explain-motivation,Background & Identity,Community; Why Major; Why Us,explain-motivation,"The world you come from, and which of its experiences motivated this dual-degree application.",350w,conditional,,"Share with us the world you come from (for example, your family, school, community, city, or town). What unique experiences from your world motivated you to apply to this business and engineering dual degree program?"
251,"University of California, Irvine",a-one-page-self-statement-about-who-you-are-as-a,A one-page self-statement about who you are as a developing artist and,reviewed,Why Major,Why Us; Creativity; Goals & Future,explain-motivation,Why Major,Creativity; Why Us; Goals & Future,explain-motivation,Who you are as a developing artist and what you hope to learn here.,(note) Limit: 1 page.,optional,,A one-page self-statement about who you are as a developing artist and what you hope to learn while at UCI.
252,"University of California, Irvine",a-one-page-self-statement-about-who-you-are-as-a-14,A one-page self-statement about who you are as a developing artist,reviewed,Why Major,Creativity,describe,Why Major,Creativity,describe,"Who you are as a developing artist, with no school-fit half.",(note) Limit: 1 page.,optional,,A one-page self-statement about who you are as a developing artist
253,"University of California, Irvine",a-statement-about-why-directing-your-production-of-the,A statement about why directing your production of the play is,reviewed,Why Major,Creativity; Values,explain-motivation,Why Major,Creativity; Values,explain-motivation,Why directing this particular production matters to you.,500w,optional,,A statement about why directing your production of the play is important to you. The statement can either be written (400-500 words) or a self-tape (3-5 minutes).
254,"University of California, Irvine",because-so-much-art-is-collaborative-please-include-a,"Because so much art is collaborative, please include a sentence or two",reviewed,Other,Collaboration; Creativity,describe,Other,Collaboration; Creativity,describe,Portfolio instruction: state your specific contribution to each collaborative submission.,(note) The source states no word or character limit.,optional,,"Because so much art is collaborative, please include a sentence or two with each submission outlining what your specific contribution was."
255,"University of California, Irvine",for-the-following-questions-please-feel-free-to-share,"For the following questions, please feel free to share any anecdotes or",reviewed,Activities & Impact,Leadership; Collaboration; Creativity,reflect,Activities & Impact,Leadership; Collaboration; Creativity,reflect,"Four questions on leadership attributes, communication, staying grounded and collaboration in your artistry.",500w,optional,,"For the following questions, please feel free to share any anecdotes or personal stories that will provide further insight on your answers. - Please describe what you think are the most important attributes of leadership and please describe how you implement those attributes to your own leadership style. - Please describe what you would consider effective pillars of communication and how has it affected the ways you engage your artistry. - In moments of high stress or uncertainty, what techniques or approaches have you implemented in your daily life that have kept you grounded and how has that approach been implemented into your artistry? - Please describe what collaboration means to you and describe your artistic approach in your *area of interest*. You may submit your answers in either written form (500 words maximum) or as a self-tape response."
256,"University of California, Irvine",we-invite-you-to-submit-examples-of-your-creative-work,We invite you to submit examples of your creative work and a statement,reviewed,Why Major,Creativity,describe,Why Major,Creativity,describe,Creative work plus a statement of who you are and which aspect of design interests you.,(note) The source states no word or character limit.,optional,,"We invite you to submit examples of your creative work and a statement about who you are and what aspect of design you’re interested in. The statement about yourself can take any form you choose, including essay, self-tape, song, etc."
257,"University of California, San Diego",all-applicants-must-submit-a-statement-of-interest-of,All applicants must submit a statement of interest of no more than 500,reviewed,Why Major,Activities & Impact; Goals & Future,state-a-future-goal,Why Major,Goals & Future; Activities & Impact,state-a-future-goal,"Musical experience and your musical, educational and career goals.",500w,optional,,"All applicants must submit a statement of interest of no more than 500 words in which you describe your musical experience, and your musical, educational, and career goals."
258,"University of California, San Diego",create-an-artist-s-statement-of-no-more-than-500-words,Create an artist’s statement of no more than 500 words that briefly,reviewed,Why Major,Why Us; Creativity,connect-to-school,Why Major,Creativity; Why Us,connect-to-school,Your art practice and how this named programme would cultivate it.,500w,optional,,Create an artist’s statement of no more than 500 words that briefly describes your art practice and how your selected Visual Arts program will help to cultivate this practice
259,"University of California, San Diego",please-submit-a-1-minute-video-or-a-written-statement,Please submit a 1-minute video OR a written statement of no more than,reviewed,Why Major,Intellectual Curiosity; Creativity,explain-motivation,Why Major,Intellectual Curiosity; Creativity,explain-motivation,What sparks your passion and curiosity about this artistic field.,350w,optional,,Please submit a 1-minute video OR a written statement of no more than 350 words answering the following prompt: “What sparks your passion and curiosity about this artistic field?” We want to know about your genuine interest in Theatre & Dance.
260,"University of California, San Diego",provide-a-personal-statement-of-no-more-than-500-words,Provide a personal statement of no more than 500 words that describes,reviewed,Why Major,Why Us; Goals & Future,explain-motivation,Why Major,Goals & Future; Why Us,explain-motivation,"Interest in art history, professional goals, and interest in this named department.",500w,optional,,"Provide a personal statement of no more than 500 words that describes your interest in art history, your future professional goals, and your specific interest in the UCSD Visual Arts department."
261,"University of California, Santa Barbara",ccs-provides-students-unusual-freedom-to-shape-their,CCS provides students unusual freedom to shape their own academic path,reviewed,Why Us,Why Major; Course; Goals & Future,connect-to-school,Why Us,Why Major; Course; Goals & Future,connect-to-school,"Why this self-directed learning environment appeals, and why it beats other programmes in the field.",150w,conditional,,"CCS provides students unusual freedom to shape their own academic path from the start. Describe why this learning environment appeals to you and how you would take advantage of its flexibility. What disciplines, perspectives, or experiences do you hope to integrate into your education, and how would doing so help you pursue your goals? Why is this program more appealing to you than other marine science programs? Be as specific as possible."
262,"University of California, Santa Barbara",describe-a-mathematical-problem-that-challenged-you-and,Describe a mathematical problem that challenged you and what steps you,reviewed,Challenge & Growth,Academic Context; Intellectual Curiosity,describe,Challenge & Growth,Academic Context; Intellectual Curiosity,describe,A mathematical problem that challenged you and the steps you took - an intellectual obstacle.,250w,conditional,,Describe a mathematical problem that challenged you and what steps you took to find a solution.
263,"University of California, Santa Barbara",describe-an-idea-discovery-experience-or-problem-that,"Describe an idea, discovery, experience, or problem that changed the",reviewed,Why Major,Intellectual Curiosity; Goals & Future,demonstrate-growth,Why Major,Intellectual Curiosity; Goals & Future,demonstrate-growth,"Something that changed how you think about marine systems, and the questions it opened.",150w,conditional,,"Describe an idea, discovery, experience, or problem that changed the way you think about marine systems. Explain what made it intellectually compelling and how it challenged your assumptions. How has this experience influenced the kinds of questions you want to explore or the impact you hope to have through your work?"
264,"University of California, Santa Barbara",describe-any-mathematical-experiences-or-activities,Describe any mathematical experiences or activities that you have been,reviewed,Activities & Impact,Academic Context; Intellectual Curiosity,describe,Activities & Impact,Academic Context; Intellectual Curiosity,describe,"Mathematical activities beyond your classes: camps, circles, clubs, competitions.",250w,conditional,,"Describe any mathematical experiences or activities that you have been involved into other than taking high school math classes, if any (for example, math camps, math circle, community college classes, math clubs, math competitions, etc)?"
265,"University of California, Santa Barbara",if-there-is-anything-else-that-you-feel-is-relevant-for,If there is anything else that you feel is relevant for your,reviewed,Personal Statement,,describe,Personal Statement,,describe,The additional-information box: anything else relevant.,250w,conditional,,"If there is anything else that you feel is relevant for your application, please share it here."
266,"University of California, Santa Barbara",introduce-yourself-and-describe-how-your-interest-in,Introduce yourself and describe how your interest in marine science,reviewed,Why Major,Why Us; Goals & Future,explain-motivation,Why Major,Why Us; Goals & Future,explain-motivation,"How your interest in marine science developed, why science, and how you would build on it here.",150w,conditional,,"Introduce yourself and describe how your interest in marine science developed. What specific question, challenge, or opportunity related to the ocean most motivates you today? Explain why science, as opposed to other fields you might study, is the path you're most drawn to. How do you hope to develop the knowledge, skills, and experiences at CCS to pursue your interests in marine science?"
267,"University of California, Santa Barbara",submit-a-2-3-page-letter-professionally-formatted-and,"Submit a 2-3 page letter, professionally formatted and addressed to the",reviewed,Why Major,Why Us; Creativity; Intellectual Curiosity; Goals & Future,explain-motivation,Why Major,Creativity; Intellectual Curiosity; Why Us; Goals & Future,explain-motivation,"A letter covering your reading, your writing so far, what motivates you, and what you would do in this programme.",(note) Limit: 3 pages.,conditional,,"Submit a 2-3 page letter, professionally formatted and addressed to the W&L faculty. Your letter should: - Briefly introduce yourself. Who you are, where you are from, your interests, and your goals. - Describe your most recent reading experience (and here we acknowledge that one can read a variety of texts -- from more traditional books and stories to films, music, and multimedia compositions) that changed your understanding of literature, life, and/or language? Are there any works that you wish to emulate or that inspire you as a writer? - Describe your work as a writer so far. What motivates you to write? In what ways have you pursued writing both in school and outside of school? - What kind of work would you like to do as a writer or as a student of literature in the CCS Writing & Literature community? This letter is separate from the essay required in the UC application."
268,"University of California, Santa Barbara",tell-us-about-a-project-or-problem-you-pursued-inside,Tell us about a project or problem you pursued inside or outside of a,reviewed,Activities & Impact,Challenge & Growth; Intellectual Curiosity; Creativity,demonstrate-growth,Activities & Impact,Challenge & Growth; Intellectual Curiosity; Creativity,demonstrate-growth,"A self-directed project, your role, the setbacks, and how it shaped your problem-solving.",150w,conditional,,"Tell us about a project or problem you pursued inside or outside of a traditional classroom. This could be a research project, a community initiative, creative work, or another self-directed endeavor. Describe your role, how you approached challenges or setbacks, and how the experience shaped your approach to solving complex problems."
269,"University of California, Santa Barbara",the-letter-of-intent-gives-us-additional-information,The letter of intent gives us additional information about your,reviewed,Why Major,Why Us; Activities & Impact; Goals & Future,explain-motivation,Why Major,Why Us; Activities & Impact; Goals & Future,explain-motivation,"A letter of intent: background in physics and maths, why this college, and career goals.",(note) Limit: 2 pages.,conditional,,"The letter of intent gives us additional information about your motivation and preparation to study physics in an advanced program. The letter should be written in essay format in your own words and should ideally not exceed two pages. Please address the letter to the CCS Physics Admissions Committee that consists of Physics faculty. Your letter may include anything you feel is relevant to your application, however, please make sure to address the following prompts: - What is your background in physics? (This is a great opportunity to discuss any extracurricular activities in Physics that you participated in). - What is your background in mathematics, specifically calculus? - Why are you interested in studying at the College of Creative Studies? - What are your career goals at this point in your life? What would you like to be doing ten years from now? - Why are you interested in physics? When did you first get interested in Physics? Who (if any) are your major influences?"
270,"University of California, Santa Barbara",this-is-not-to-be-taken-lightly,This is not to be taken lightly,reviewed,Why Major,Why Us; Creativity; Goals & Future,explain-motivation,Why Major,Why Us; Creativity; Goals & Future,explain-motivation,"A letter covering your background in music, why you compose, why this college, and your goals.",(note) Limit: 3 pages.,conditional,,"This is not to be taken lightly! Please type a one to three-page letter, addressed to the CCS Music Composition faculty, that answers the following questions: What is your background in music? When did you begin writing music and why? Why are you interested in studying at the College of Creative Studies? What are your career goals at this point in your life? Do you intend to enter the professional music world? Graduate school? What would you like to be doing five years from now? Ten years? Talk a little bit about your music. Why are you interested in writing music? Who are your major influences? What instrument(s) do you play? How do you go about your compositional process? Where do you feel you are in your creative development?"
271,"University of California, Santa Barbara",what-kinds-of-mathematics-have-you-been-exposed-to,"What kinds of mathematics have you been exposed to beyond calculus, if",reviewed,Short Answer,Academic Context,describe,Short Answer,Academic Context,describe,A factual inventory of mathematics studied beyond calculus.,250w,conditional,,"What kinds of mathematics have you been exposed to beyond calculus, if any?"
272,"University of California, Santa Barbara",what-unique-qualities-and-characteristics-do-you-bring,What unique qualities and characteristics do you bring as an applicant,reviewed,Why Us,Contribution; Goals & Future,discuss-future-contribution,Why Us,Contribution; Goals & Future,discuss-future-contribution,"Which qualities you bring that fit this college, and how they help you reach your goals.",250w,conditional,,What unique qualities and characteristics do you bring as an applicant that make you a good fit for CCS? How might your unique qualities help you achieve your goals during your time here?
273,"University of California, Santa Barbara",why-have-you-chosen-mathematics-as-opposed-to-another,Why have you chosen mathematics as opposed to another exact science or,reviewed,Why Major,,explain-motivation,Why Major,,explain-motivation,Why mathematics rather than another science or creative field.,250w,conditional,,Why have you chosen mathematics as opposed to another exact science or creative activity?
274,"University of California, Santa Barbara",write-a-letter-to-the-attention-of-the-ccs-art-faculty,"Write a letter to the attention of the CCS Art faculty, stating your",reviewed,Why Major,Why Us; Background & Identity; Creativity,explain-motivation,Why Major,Why Us; Creativity; Background & Identity,explain-motivation,"A letter on academic interests, why this college, background in art, and personal background.",(note) The source states no word or character limit.,conditional,,"Write a letter to the attention of the CCS Art faculty, stating your academic interests, your reasons for wanting to study at CCS, and your background in Art. In addition, please describe any aspects of your personal background, accomplishments, or experiences with diversity that you feel are important in evaluating your application. This letter is separate from the essay required in the UC application."
275,"University of California, Santa Barbara",write-a-letter-to-the-attention-of-the-ccs-biology,"Write a letter to the attention of the CCS Biology faculty, stating",reviewed,Why Major,Why Us; Goals & Future,explain-motivation,Why Major,Why Us; Goals & Future,explain-motivation,"A letter on academic interests, why this college, background in biology, and career goals.",(note) The source states no word or character limit.,conditional,,"Write a letter to the attention of the CCS Biology faculty, stating your academic interests, your reasons for wanting to study at CCS, and your background in Biology. If you have a future career goal, explain how you believe CCS will help you reach that goal. This letter is separate from the essay required in the UC application."
276,"University of California, Santa Barbara",write-a-letter-to-the-attention-of-the-ccs-chemistry,Write a letter to the attention of the CCS Chemistry and Biochemistry,reviewed,Why Major,Why Us,explain-motivation,Why Major,Why Us,explain-motivation,"A letter on academic interests, why this college, and background in chemistry.",(note) The source states no word or character limit.,conditional,,"Write a letter to the attention of the CCS Chemistry and Biochemistry faculty, stating your academic interests, your reasons for wanting to study at CCS, and your background in Chemistry. This letter is separate from the essay required in the UC application."
277,"University of California, Santa Barbara",write-a-letter-to-the-attention-of-the-ccs-computing,"Write a letter to the attention of the CCS Computing faculty, stating",reviewed,Why Major,Why Us,explain-motivation,Why Major,Why Us,explain-motivation,"A letter on academic interests, why this college, and background in computing.",(note) The source states no word or character limit.,conditional,,"Write a letter to the attention of the CCS Computing faculty, stating your academic interests, your reasons for wanting to study at CCS, and your background in Computing. This letter is separate from the essay required in the UC application."
278,University of Chicago,ai-allen-iverson,AI: Allen Iverson,reviewed,Other,Creativity,describe,Other,Creativity,describe,Invent a mistaken-acronym example and its backstory: bespoke by construction.,(note) The source states no word or character limit.,optional,,"AI: Allen Iverson. NASA, or the North American Saxophone Alliance. Share a potentially confounding, comedic, or captivating example of MIA (Mistaken Identity of Acronym) and tell us its backstory."
279,University of Chicago,and-as-always-the-classic-choose-your-own-adventure,"And, as always… the classic choose your own adventure option",reviewed,Personal Statement,Creativity,describe,Personal Statement,Creativity,describe,"Choose any past prompt or invent your own - genuinely open topic, which is what this category means.",(note) The source states no word or character limit.,optional,,"And, as always… the classic choose your own adventure option! In the spirit of adventurous inquiry, choose one of our past prompts (or create a question of your own). Be original, creative, thought provoking. Draw on your best qualities as a writer, thinker, visionary, social critic, sage, citizen of the world, or future citizen of the University of Chicago; take a little risk, and have fun!"
280,University of Chicago,food-for-thought-how-do-thoughts-eat,Food for thought: How do thoughts eat,reviewed,Other,Creativity; Intellectual Curiosity,describe,Other,Creativity; Intellectual Curiosity,describe,"""How do thoughts eat?"" - a bespoke abstract riddle.",(note) The source states no word or character limit.,optional,,Food for thought: How do thoughts eat?
281,University of Chicago,how-does-the-university-of-chicago-as-you-know-it-now,"How does the University of Chicago, as you know it now, satisfy your",reviewed,Why Us,Community; Goals & Future,connect-to-school,Why Us,Community; Goals & Future,connect-to-school,"How UChicago specifically satisfies your wishes for learning, community and future.",(note) The source states no word or character limit.,required,,"How does the University of Chicago, as you know it now, satisfy your desire for a particular kind of learning, community, and future? Please address with some specificity your own wishes and how they relate to UChicago."
282,University of Chicago,sometimes-metaphors-get-mixed-up,Sometimes metaphors get mixed up,reviewed,Other,Creativity,describe,Other,Creativity,describe,Invent a mixed metaphor and explain how it could make sense.,(note) The source states no word or character limit.,optional,,"Sometimes metaphors get mixed up. For one reason or another, one could say, “we’ll burn that bridge when we get there” or “the world is your china shop”. Make up your own mixed metaphor. Explain how it could make sense, be understood, or even applied."
283,University of Chicago,the-james-webb-space-telescope-launched-in-2021-utilized,"The James Webb Space Telescope, launched in 2021, utilized",reviewed,Other,Creativity; Intellectual Curiosity,describe,Other,Creativity; Intellectual Curiosity,describe,Borrow the principles of an artistic practice to solve a problem elegantly.,(note) The source states no word or character limit.,optional,,"The James Webb Space Telescope, launched in 2021, utilized origami-inspired techniques to compactly store and deploy its sunshield in space. Choose an artistic practice and use its principles to propose an elegant solution to a problem."
284,University of Chicago,the-olympics-have-long-celebrated-the-pinnacle-of-human,The Olympics have long celebrated the pinnacle of human athletic,reviewed,Other,Creativity,describe,Other,Creativity,describe,Invent an Olympic event for a mundane activity and explain its scoring.,(note) The source states no word or character limit.,optional,,"The Olympics have long celebrated the pinnacle of human athletic achievement. But what if they expanded to honor the mundane? Imagine a new Olympic event built around an everyday activity like speed dishwashing or competitive grocery bagging. How is it scored, officiated, and judged? Why is it a worthy addition?"
285,University of Colorado Boulder,a-personal-statement-150-200-words-describing-your,A personal statement (150-200 words) describing your goals and reasons,reviewed,Why Major,Goals & Future,state-a-future-goal,Why Major,Goals & Future,state-a-future-goal,Goals and reasons for pursuing music production.,150-200w,conditional,,A personal statement (150-200 words) describing your goals and reasons for pursuing studies in music production.
286,University of Colorado Boulder,for-the-written-analysis-describe-in-your-own-words-any,"For the written analysis describe, in your own words, any two of the",reviewed,Other,Academic Context; Intellectual Curiosity,describe,Other,Academic Context; Intellectual Curiosity,describe,"Analyse two named songs for form, lyrics and instrumentation - a set analytical exercise.",(note) The source states no word or character limit.,conditional,,"For the written analysis describe, in your own words, any two of the following songs. You should discuss the form, lyrics, instrumentation, and general musical elements (chords, melody, style, etc) of each of the two songs you choose. - “Norwegian Wood” by the Beatles - “16 Carriages” by Beyoncé - “I Ain’t Goin’ Out Like That” by Cypress Hill - “Wrecking Ball” by Miley Cyrus - “Always On My Mind” by Willie Nelson"
287,University of Colorado Boulder,in-500-words-or-fewer-please-describe-your-musical,"In 500 words or fewer, please describe your musical background and your",reviewed,Why Major,Why Us; Goals & Future,state-a-future-goal,Why Major,Goals & Future; Why Us,state-a-future-goal,"Musical background and goals, and how you would progress toward them here.",500w,conditional,,"In 500 words or fewer, please describe your musical background and your goals for the future. How do you hope to progress toward your goals at CU Boulder?"
288,University of Colorado Boulder,please-also-submit-a-personal-statement-detailing-your,Please also submit a personal statement detailing your goals and,reviewed,Why Us,Background & Identity; Goals & Future; Creativity,connect-to-school,Why Us,Goals & Future; Creativity; Background & Identity,connect-to-school,Goals for your time at CU Boulder and why you want to join its community.,(note) The source states no word or character limit.,conditional,,Please also submit a personal statement detailing your goals and aspirations for your time at CU Boulder and why you are interested in joining our community. Your statement should provide a snapshot of your creative life and identity–we want to get to know you.
289,University of Colorado Boulder,short-answer-academic-interest,Academic interests at CU Boulder,reviewed,Why Major,Intellectual Curiosity,explain-motivation,Why Major,Intellectual Curiosity,explain-motivation,carried over from the hand review,250w,required,,"What do you hope to study, and why, at CU Boulder? Or if you don't know quite yet, think about your studies so far, extracurricular/after-school activities, jobs, volunteering, future goals or anything else that has shaped your interests."
290,University of Colorado Boulder,write-a-personal-statement-150-250-words-describing,Write a personal statement (150-250 words) describing your goals and,reviewed,Why Major,Goals & Future; Creativity; Contribution,state-a-future-goal,Why Major,Goals & Future; Creativity; Contribution,state-a-future-goal,"Goals and reasons for studying songwriting, with influences, instruments and strengths you bring.",150-250w,conditional,,Write a personal statement (150-250 words) describing your goals and reasons for pursuing studies in songwriting at CU Boulder. This should be uploaded to fulfill the “Music Essay” requirement on your checklist. Please address the following questions in your statement: - What are your short and long-term career goals? - What or who are your musical influences? - What instrument(s) do you play? - What strengths do you think you will bring to the Songwriting program?
291,University of Connecticut,discuss-the-factors-that-have-influenced-your,Discuss the factors that have influenced your motivation to pursue a,reviewed,Why Major,Activities & Impact; Goals & Future,explain-motivation,Why Major,Activities & Impact; Goals & Future,explain-motivation,"What influenced your motivation toward nursing, including activities and life experiences.",(note) The source states no word or character limit.,conditional,,"Discuss the factors that have influenced your motivation to pursue a career in Nursing. Please include any activities, academics and/or life experiences that have shaped your interest in nursing."
292,University of Connecticut,please-briefly-share-the-influences-on-your-decision-to,Please briefly share the influences on your decision to pursue the,reviewed,Why Major,Activities & Impact,explain-motivation,Why Major,Activities & Impact,explain-motivation,"Influences on choosing medicine, including shadowing and medical activities.",800w,conditional,,"Please briefly share the influences on your decision to pursue the field of medicine, including shadowing experiences and other medical related activities."
293,University of Connecticut,please-briefly-share-the-influences-on-your-decision-to-5,Please briefly share the influences on your decision to pursue the,reviewed,Why Major,Activities & Impact,explain-motivation,Why Major,Activities & Impact,explain-motivation,"Influences on choosing dentistry, including shadowing and dental activities.",800w,conditional,,"Please briefly share the influences on your decision to pursue the field of dentistry, including shadowing experiences and other dental-related activities."
294,University of Connecticut,please-describe-a-role-you-have-held-in-a-meaningful,Please describe a role you have held in a meaningful group/peer-related,reviewed,Activities & Impact,Collaboration; Leadership,describe,Activities & Impact,Collaboration; Leadership,describe,A role you have held in a meaningful group activity - the activity family.,800w,conditional,,Please describe a role you have held in a meaningful group/peer-related activity.
295,University of Connecticut,please-describe-your-interests-activities-hobbies-etc,"Please describe your interests, activities, hobbies, etc., outside the",reviewed,Activities & Impact,,describe,Activities & Impact,,describe,"Your interests, activities and hobbies outside the field you are applying to.",800w,conditional,1: University of Connecticut,"Please describe your interests, activities, hobbies, etc., outside the area of health sciences."
296,University of Connecticut,please-discuss-why-you-are-applying-to-the-special,Please discuss why you are applying to the Special Program in Law and,reviewed,Why Us,Why Major; Goals & Future,connect-to-school,Why Us,Why Major; Goals & Future,connect-to-school,Why this named law programme and how studying here would further that interest.,800w,conditional,,Please discuss why you are applying to the Special Program in Law and how you feel your undergraduate studies at UConn will further your interest in law.
297,University of Connecticut,what-opportunities-or-events-have-you-experienced-which,What opportunities or events have you experienced which informed your,reviewed,Why Major,Goals & Future; Contribution; Values,explain-motivation,Why Major,Goals & Future; Contribution; Values,explain-motivation,"What informed your interest in law, and what you hope to contribute to ethical practice.",800w,conditional,,What opportunities or events have you experienced which informed your interest in the study of law and what do you hope to contribute to the profession of ethical legal practice?
298,University of Connecticut,why-are-you-applying-to-the-special-program-in-dental,Why are you applying to the Special Program in Dental Medicine at the,reviewed,Why Us,Why Major,explain-motivation,Why Us,Why Major,explain-motivation,Why you are applying to this named dental medicine programme.,800w,conditional,,Why are you applying to the Special Program in Dental Medicine at the University of Connecticut?
299,University of Florida,a-written-statement-250-500-words-describing-career,A written statement (250-500 words) describing: - Career aspirations -,reviewed,Why Major,Why Us; Goals & Future,state-a-future-goal,Why Major,Goals & Future; Why Us,state-a-future-goal,"Career aspirations, reasons for the major, and why this university fits.",250-500w,conditional,,A written statement (250-500 words) describing: - Career aspirations - Reasons for pursuing Music Business & Entrepreneurship - Professional interests - Why the applicant believes the University of Florida is an appropriate fit
300,University of Florida,a-written-statement-250-500-words-detailing-an,A written statement (250-500 words) detailing an initiative outside of,reviewed,Activities & Impact,Community; Leadership; Service,describe,Activities & Impact,Leadership; Service; Community,describe,"An initiative outside class: leadership, organisations, service, volunteering or work.",250-500w,conditional,,"A written statement (250-500 words) detailing an initiative outside of classroom instruction, such as: - Leadership roles - Student organizations - Community service - Volunteer activities - Event organization - Entrepreneurial initiatives - Professional work experiences"
301,University of Florida,discuss-why-you-are-interested-in-becoming-a-uf,Discuss why you are interested in becoming a UF Innovation Academy,reviewed,Why Us,Why Major; Goals & Future,connect-to-school,Why Us,Goals & Future; Why Major,connect-to-school,Why this named academy and how it would shape your career path.,150-300w,conditional,,Discuss why you are interested in becoming a UF Innovation Academy student and how it will influence your professional career path.
302,University of Florida,do-you-have-any-employment-or-family-obligations-that,Do you have any employment or family obligations that limit your,reviewed,Activities & Impact,Background & Identity,describe,Activities & Impact,Background & Identity,describe,Employment or family obligations limiting extracurriculars - the family-responsibility half of the activity family.,250w,optional,,"Do you have any employment or family obligations that limit your participation in extracurricular activities? If so, please describe."
303,University of Florida,have-you-participated-in-or-been-assisted-in-your,Have you participated in or been assisted in your college preparation,reviewed,Activities & Impact,Academic Context,describe,Activities & Impact,Academic Context,describe,"Which college-preparation programmes you took part in, and for how long.",250w,optional,,"Have you participated in or been assisted in your college preparation and search by programs outside of the classroom, such as Educational Talent Search, Take Stock in Children, Upward Bound, Boys and Girls Club, etc.? If so, please provide the name of the program, details/benefits of your involvement, and how long your experiences continued."
304,University of Florida,is-there-any-additional-information-or-extenuating,Is there any additional information or extenuating circumstances the,reviewed,Personal Statement,,describe,Personal Statement,,describe,The additional-information box: extenuating circumstances or anything else.,250w,optional,,"Is there any additional information or extenuating circumstances the Admissions Committee should know when reviewing your application? If so, please provide more information in less than 250 words."
305,University of Florida,please-provide-more-details-on-your-most-meaningful,Please provide more details on your most meaningful commitment outside,reviewed,Activities & Impact,Values,reflect,Activities & Impact,Values,reflect,"Your most meaningful commitment outside class and why - activity, work, volunteering or family responsibility.",250w,required,,"Please provide more details on your most meaningful commitment outside of the classroom while in high school and explain why it was meaningful. This could be related to an extracurricular activity, work, volunteering, an academic activity, family responsibility, or any other non-classroom activity."
306,University of Florida,the-uf-honors-program-s-mission-is-to-connect-nurture,"The UF Honors Program’s mission is to connect, nurture and engage the",reviewed,Why Us,Community; Contribution; Goals & Future,discuss-future-contribution,Why Us,Contribution; Goals & Future; Community,discuss-future-contribution,"How you envision contributing to an honours programme's mission, given what shaped you.",150-400w,conditional,,"The UF Honors Program’s mission is to connect, nurture and engage the next generation of scholars who change the world. How do you envision yourself contributing to this mission? Consider the people, experiences, resources, and aspirations that have shaped your journey thus far and your future plans."
