ID,School,External ref,Prompt title,Proposed primary,Secondary 1,Secondary 2,Secondary 3,Your primary override,Your secondary 1,Your secondary 2,Your secondary 3,Prompt function,Classifier confidence,Full written prompt,Word limit,Requirement,Scope
173,Pennsylvania State University,list-awards-or-other-recognitions-if-any-you-have,List awards or other recognitions (if any) you have received in or,,,,,,,,,,0,List awards or other recognitions (if any) you have received in or outside of school over the last four years.,200w,conditional,Schreyer Honors College
174,Pennsylvania State University,reflecting-on-the-recognitions-listed-above-which-one,"Reflecting on the recognitions listed above, which one stands out as",,,,,,,,,,0,"Reflecting on the recognitions listed above, which one stands out as having an impact on your outlook and why?",200w,conditional,Schreyer Honors College
175,Pennsylvania State University,tell-us-about-a-book-or-other-media-that-has-made-you,Tell us about a book or other media that has made you think about,,,,,,,,,,0,Tell us about a book or other media that has made you think about something in a new way.,200w,conditional,Schreyer Honors College
176,Pennsylvania State University,everyone-belongs-to-many-different-communities-and-or,"Everyone belongs to many different communities and/or groups, including",Community,Background & Identity,Personal Statement,Intellectual Curiosity,,,,,,57,"Everyone belongs to many different communities and/or groups, including shared geography, faith, ethnicity, income, cuisine, interest, race, or intellectual heritage. Choose one of the communities or groups to which you belong and describe how it has influenced your life over the last four years.",200w,conditional,Schreyer Honors College
177,Pennsylvania State University,please-use-this-space-to-share-information-you-would,Please use this space to share information you would like us to,,,,,,,,,,0,Please use this space to share information you would like us to consider that has not been discussed elsewhere in your application (this is optional).,200w,optional,
178,Pitzer College,as-a-mission-driven-institution-we-value-and-celebrate,"As a mission-driven institution, we value and celebrate the synergy",Why Us,Community,Background & Identity,Personal Statement,,,,,,40,"As a mission-driven institution, we value and celebrate the synergy created by our differences and similarities. We welcome you to write about distinctive aspects of your background, identity, or personal interests that you would bring to Pitzer, and how you plan to engage in our community.",250w,optional,
179,University of Pittsburgh,share-information-not-included-elsewhere-in-your,Share information not included elsewhere in your University of,,,,,,,,,,0,Share information not included elsewhere in your University of Pittsburgh admissions application.,650w,conditional,
180,University of Pittsburgh,frederick-honors-college-applicants-pitt-honors,Frederick Honors College Applicants: Pitt Honors students are,Why Us,Community,Personal Statement,,,,,,,40,"Frederick Honors College Applicants: Pitt Honors students are encouraged to engage deeply with their communities and the world. Describe a topic, issue, or experience that has shaped how you engage with others. How will you continue this exploration as a member of the Frederick Honors College?",650w,conditional,David C. Frederick Honors College
181,Purdue University,how-will-opportunities-at-purdue-support-your-interests,"How will opportunities at Purdue support your interests, both in and",,,,,,,,,,0,"How will opportunities at Purdue support your interests, both in and out of the classroom?",250w,required,
182,Purdue University,briefly-discuss-your-reasons-for-choosing-your-major,Briefly discuss your reasons for choosing your major and your interest,Why Us,Why Major,,,,,,,,40,Briefly discuss your reasons for choosing your major and your interest in studying at this campus location (Indianapolis or West Lafayette).,250w,required,
183,Purdue University,briefly-discuss-your-reasons-for-pursuing-the-alternate,Briefly discuss your reasons for pursuing the alternate major and,,,,,,,,,,0,Briefly discuss your reasons for pursuing the alternate major and campus location (Indianapolis or West Lafayette) you have selected.,250w,conditional,Alternate major or campus choice
184,Purdue University,explain-your-vision-ideas-or-goals-for-how-you-hope-to,"Explain your vision, ideas, or goals for how you hope to shape your",,,,,,,,,,0,"Explain your vision, ideas, or goals for how you hope to shape your honors experience while at Purdue. Please put this in the context of the four pillars which are the foundation of the John Martinson Honors College.",500w,conditional,John Martinson Honors College
185,Purdue University,please-describe-the-interdisciplinary-nature-of-your,Please describe the interdisciplinary nature of your chosen field of,Why Major,Personal Statement,,,,,,,,57,Please describe the interdisciplinary nature of your chosen field of study and how it complements or supports other fields.,500w,conditional,John Martinson Honors College
186,Rice University,why-are-you-determined-to-study-architecture,Why are you determined to study architecture,,Leadership,,,,,,,,0,"Why are you determined to study architecture? Please explain your motivation and describe how your past experiences have led you to apply to the Rice School of Architecture in particular. Have you had an opportunity outside of school—such as an internship, building project, architecture summer program or other experience—that strengthened your interest in the field? If so, please describe how the experience further compels you to pursue a career in architecture.",250w,conditional,Architecture (BArch)
187,Rice University,describe-a-building-place-or-city-that-you-have,"Describe a building, place, or city that you have encountered and found",,Creativity,,,,,,,,0,"Describe a building, place, or city that you have encountered and found especially compelling. What specifically captured your attention, and why? In your response, reflect on how this experience has shaped your understanding of architecture and the built environment.",250w,conditional,Architecture (BArch)
188,University of Rochester,what-field-area-of-study-are-you-interested-in,What field/area of study are you interested in researching,,,,,,,,,,0,What field/area of study are you interested in researching?,20w,optional,
189,University of Rochester,what-relevant-experiences-or-insight-have-led-to-your,What relevant experiences or insight have led to your interest in this,,Intellectual Curiosity,Contribution,Leadership,,,,,,0,"What relevant experiences or insight have led to your interest in this particular program? Describe how Rochester’s resources: facilities, faculty, peers and research will meet your academic and personal ambitions. Describe how you see yourself contributing to the challenging field you want to enter as a Rochester graduate.",250w,conditional,Combined Degree Programs
190,Rutgers University,to-be-a-rutgers-university-new-brunswick-honors-scholar,To be a Rutgers University–New Brunswick Honors Scholar is to explore,Community,,,,,,,,,50,"To be a Rutgers University–New Brunswick Honors Scholar is to explore, learn, and engage at the highest level. If this describes you, we invite you to examine our website and then apply here by telling us: How have you challenged yourself to embrace new experiences and continue learning about yourself and the world? Also, how will your experiences enhance the Rutgers University–New Brunswick Honors community? Aim for about 500 words.",500w,conditional,Honors College
191,Scripps College,why-have-you-chosen-to-apply-to-scripps-college,Why have you chosen to apply to Scripps College,,,,,,,,,,0,Why have you chosen to apply to Scripps College?,200w,required,
192,Scripps College,if-you-could-trade-lives-with-someone-fictional-or-real,If you could trade lives with someone (fictional or real) for a day,,,,,,,,,,0,"If you could trade lives with someone (fictional or real) for a day, who would it be and why?",300w,optional,scripps-second-essay
193,Scripps College,tell-us-about-a-time-you-had-to-compromise,Tell us about a time you had to compromise,,Course,,,,,,,,0,Tell us about a time you had to compromise. What did that experience teach you?,300w,optional,scripps-second-essay
194,Scripps College,you-have-just-been-invited-to-host-your-own-podcast,You have just been invited to host your own podcast,,,,,,,,,,0,You have just been invited to host your own podcast. What will you talk about and why did you select that topic?,300w,optional,scripps-second-essay
195,Smith College,what-personal-experiences-background-or-abilities-would,"What personal experiences, background or abilities would you bring to",Background & Identity,Contribution,,,,,,,,50,"What personal experiences, background or abilities would you bring to this residential environment to share with your neighbors and what would you hope your neighbors would share with you?",250w,required,
196,University of Southern California,describe-how-you-plan-to-pursue-your-academic-interests,Describe how you plan to pursue your academic interests and why you,Why Major,,,,,,,,,50,Describe how you plan to pursue your academic interests and why you want to explore them at USC specifically. Please feel free to address your first- and second-choice major selections.,250w,required,
197,University of Southern California,the-usc-student-commitment-charges-trojans-to-value,"The USC Student Commitment charges Trojans to “value honest, open",Background & Identity,Personal Statement,Values,Disagreement,,,,,,29,"The USC Student Commitment charges Trojans to “value honest, open communication and robust debate,” and to “champion ideological diversity and embrace freedom of expression.” Describe a time when you disagreed with someone you know about something important to you. Did you change your mind or reach common ground?",250w,optional,
198,University of Southern California,starting-with-the-beginning-of-high-school-secondary,"Starting with the beginning of high school/secondary school, if you",,,,,,,,,,0,"Starting with the beginning of high school/secondary school, if you have had a gap where you were not enrolled in school during a fall or spring term, please address this gap in your educational history. You do not need to address a summer break.",250w,optional,
199,University of Southern California,describe-yourself-in-three-words,Describe yourself in three words,,,,,,,,,,0,Describe yourself in three words.,Limit: 25 characters per word.,required,
200,University of Southern California,what-is-your-favorite-snack,What is your favorite snack,Short Answer,,,,,,,,,50,What is your favorite snack?,100c,required,
201,University of Southern California,best-movie-of-all-time,Best movie of all time,,,,,,,,,,0,Best movie of all time,100c,required,
202,University of Southern California,dream-job,Dream job,,,,,,,,,,0,Dream job,100c,required,
203,University of Southern California,if-your-life-had-a-theme-song-what-would-it-be,"If your life had a theme song, what would it be",,,,,,,,,,0,"If your life had a theme song, what would it be?",100c,required,
204,University of Southern California,dream-trip,Dream trip,,,,,,,,,,0,Dream trip,100c,required,
205,University of Southern California,what-tv-show-will-you-binge-watch-next,What TV show will you binge watch next,,,,,,,,,,0,What TV show will you binge watch next?,100c,required,
206,University of Southern California,which-well-known-person-or-fictional-character-would-be,Which well-known person or fictional character would be your ideal,Roommate,,,,,,,,,50,Which well-known person or fictional character would be your ideal roommate?,100c,required,
207,University of Southern California,favorite-book,Favorite book,Short Answer,,,,,,,,,40,Favorite book,100c,required,
208,University of Southern California,if-you-could-teach-a-class-on-any-topic-what-would-it-be,"If you could teach a class on any topic, what would it be",,Course,,,,,,,,0,"If you could teach a class on any topic, what would it be?",100c,required,
209,Swarthmore College,what-aspects-of-your-self-identity-or-personal,What aspects of your self-identity or personal background are most,Why Us,Community,Background & Identity,Personal Statement,,,,,,33,"What aspects of your self-identity or personal background are most significant to you? Reflecting on the elements of your home, school, or other communities that have shaped your life, explain how you have grown in your ability to navigate differences when engaging with others, or demonstrated your ability to collaborate in communities other than your own.",250w,required,
210,Swarthmore College,tell-us-about-a-topic-that-has-fascinated-you-recently,Tell us about a topic that has fascinated you recently – either inside,,Intellectual Curiosity,,,,,,,,0,Tell us about a topic that has fascinated you recently – either inside or outside of the classroom. What made you curious about this? Has this topic connected across other areas of your interests? How has this experience shaped you and what encourages you to keep exploring?,250w,required,
211,University of Texas at Austin,share-an-essay-on-any-topic-of-your-choice,Share an essay on any topic of your choice,,Creativity,,,,,,,,0,"Share an essay on any topic of your choice. It can be one you’ve already written, one that responds to a different prompt or one of your own design.",650w,required,
212,University of Texas at Austin,teamwork-and-community-are-pillars-of-the-canfield,Teamwork and community are pillars of the Canfield Business Honors,Community,Personal Statement,Values,Collaboration,,,,,,40,"Teamwork and community are pillars of the Canfield Business Honors Program. When reviewing your resume, is there a particular aspect that reflects these values? Tell us more about this experience and how you will bring these values to Canfield Business Honors.",300w,conditional,Canfield Business Honors
213,University of Texas at Austin,the-cockrell-mccombs-bs-ms-honors-program-is-a-unique,The Cockrell-McCombs BS/MS Honors Program is a unique program that,Why Major,Leadership,Goals & Future,,,,,,,50,The Cockrell-McCombs BS/MS Honors Program is a unique program that integrates engineering and business education from the start. The program provides the fundamentals of engineering and business to develop the leaders needed to ensure economic growth and national security. Why do you see this as a combination of skills that would help you achieve your career goals?,500w,conditional,Cockrell-McCombs B.S./M.S. Honors Program
214,University of Texas at Austin,describe-your-significant-activities-employment-and,"Describe your significant activities, employment and achievements",Why Major,Activities & Impact,Personal Statement,Goals & Future,,,,,,33,"Describe your significant activities, employment and achievements, particularly those relevant to the study of Electrical and Computer Engineering. Also describe your educational and career goals.",500w,conditional,Electrical and Computer Engineering Honors
215,University of Texas at Austin,texas-honors-electrical-and-computer-engineering-and,Texas Honors Electrical and Computer Engineering and Business (Texas,Why Major,Personal Statement,Course,Goals & Future,,,,,,40,"Texas Honors Electrical and Computer Engineering and Business (Texas ECB) is a powerful dual degree program looking for students who are dedicated to both an electrical and computer engineering and business honors education. Why do you see this as a combination of skills for your career goals? What have you done in high school, in the classroom and outside, to prepare you for honors engineering and business course work?",500w,conditional,Texas Honors Electrical and Computer Engineering and Business
216,University of Texas at Austin,in-the-human-development-and-family-sciences-department,"In the Human Development and Family Sciences department, we examine",Why Us,Community,Background & Identity,,,,,,,40,"In the Human Development and Family Sciences department, we examine individual and family development from infancy to old age, with a focus on how social, community, cultural, and policy contexts may shape development. Why have you chosen to apply to the HDFS Honors Program? What makes you a good fit?",500w,conditional,Human Development and Family Sciences Honors
217,University of Texas at Austin,what-knowledge-skills-or-experiences-do-you-hope-to,"What knowledge, skills, or experiences do you hope to gain through",,Intellectual Curiosity,,,,,,,,0,"What knowledge, skills, or experiences do you hope to gain through participation in HDFS Honors, including its research opportunities? How do you hope it will support your academic and professional goals?",500w,conditional,Human Development and Family Sciences Honors
218,University of Texas at Austin,prospective-students-cite-many-reasons-for-pursuing,Prospective students cite many reasons for pursuing education in the,Short Answer,,,,,,,,,50,"Prospective students cite many reasons for pursuing education in the liberal arts, and we would like to know why you want to do so. In 250 words or less, tell us why you want to study the liberal arts. Consider (but don’t feel obligated to answer all) questions like: Why should anyone study liberal arts at all? Why does the world need the liberal arts? What does your liberal arts degree get you? What will you do with your liberal arts education?",250w,conditional,Liberal Arts Honors
219,University of Texas at Austin,help-us-get-to-know-you-better,Help us get to know you better,,Creativity,,,,,,,,0,"Help us get to know you better. Please write five sentences (numbered 1-5) that give us some insight into you, your life, your interests and your experiences. There are no right answers — feel free to be creative and think outside the box.",Limit: 5 sentences.,conditional,Liberal Arts Honors
220,University of Texas at Austin,communication-is-a-fundamental-part-of-human-life,"Communication is a fundamental part of human life, influencing every",,Leadership,,,,,,,,0,"Communication is a fundamental part of human life, influencing every aspect of the world around us. Future communicators like yourself must wrestle with the question of whether communication is motivated by self-interest or cooperation. Discuss an example from a communication discipline (advertising, communication studies, communication and leadership, journalism, public relations, radio-tv-film or speech language hearing sciences), that supports one of the two perspectives.",250w,conditional,Moody College Honors
221,University of Texas at Austin,each-of-the-three-cns-honors-programs-has-a-distinct,Each of the three CNS Honors Programs has a distinct profile,Why Us,Community,Contribution,,,,,,,40,"Each of the three CNS Honors Programs has a distinct profile. Why are you a good fit for the Dean’s Scholars, Health Science Scholars or Polymathic Scholars program? How will you contribute to that community?",The source states no word or character limit.,conditional,Natural Sciences Honors
222,University of Texas at Austin,the-american-academy-of-arts-and-sciences-recently,The American Academy of Arts and Sciences recently reported that the,,Leadership,,,,,,,,0,"The American Academy of Arts and Sciences recently reported that the number of bachelor’s degrees in the humanities has fallen by approximately 20% from 2012 to 2021, while the number of STEM and business degrees have sharply climbed. Nonetheless, in an age of standalone large language models (LLMs), interactive chatbots, and the escalating use of artificial intelligence in medicine, meteorology, coding, and business analytics, many STEM and business leaders are urging students to study the humanities to navigate an increasingly complex world. As an applicant to the interdisciplinary Plan II Honors program, you have chosen a major with a strong humanities component. Please explain how the humanities have shaped your educational experiences and how you anticipate applying the humanities to your study of other fields during your collegiate career and beyond.",250w,conditional,Plan II Honors
223,University of Texas at Austin,help-us-get-to-know-you-better-16,Help us get to know you better,,Creativity,,,,,,,,0,"Help us get to know you better. Please write five sentences (numbered 1-5) that give us some insight into you, your life, your interests and your experiences. There are no right answers — feel free to be creative and think outside the box.",Limit: 5 sentences.,conditional,Plan II Honors
224,University of Texas at Austin,texas-csb-is-an-innovative-dual-degree-program-looking,Texas CSB is an innovative dual degree program looking for students who,Why Major,Personal Statement,Course,Goals & Future,,,,,,40,Texas CSB is an innovative dual degree program looking for students who are dedicated to both computer science and business. Why do you see this as a powerful combination of skills for your career goals? What have you done in high school to prepare you for computer science and business course work?,500w,conditional,Texas Honors Computer Science and Business
225,University of Texas at Austin,why-are-you-interested-in-robotics,Why are you interested in robotics,Why Major,Goals & Future,,,,,,,,50,Why are you interested in robotics? How will this undergraduate robotics program help you achieve your personal and/or career goals? What impact do you hope to make in the field of robotics?,500w,conditional,Texas Robotics
226,University of Texas at Austin,describe-your-significant-activities-employment-and-19,"Describe your significant activities, employment and achievements",Why Major,Activities & Impact,Personal Statement,Goals & Future,,,,,,33,"Describe your significant activities, employment and achievements, particularly those relevant to the study of computer science. Also describe your educational and career goals.",500w,conditional,Turing Scholars
227,University of Connecticut,discuss-the-factors-that-have-influenced-your,Discuss the factors that have influenced your motivation to pursue a,Activities & Impact,Personal Statement,,,,,,,,33,"Discuss the factors that have influenced your motivation to pursue a career in Nursing. Please include any activities, academics and/or life experiences that have shaped your interest in nursing.",The source states no word or character limit.,conditional,Nursing
228,University of Connecticut,please-briefly-share-the-influences-on-your-decision-to,Please briefly share the influences on your decision to pursue the,Activities & Impact,,,,,,,,,50,"Please briefly share the influences on your decision to pursue the field of medicine, including shadowing experiences and other medical related activities.",800w,conditional,Special Program in Medicine
229,University of Connecticut,please-describe-your-interests-activities-hobbies-etc,"Please describe your interests, activities, hobbies, etc., outside the",Activities & Impact,Personal Statement,,,,,,,,40,"Please describe your interests, activities, hobbies, etc., outside the area of health sciences.",800w,conditional,Special Program in Medicine
230,University of Connecticut,please-describe-a-role-you-have-held-in-a-meaningful,Please describe a role you have held in a meaningful group/peer-related,Activities & Impact,Personal Statement,Values,,,,,,,33,Please describe a role you have held in a meaningful group/peer-related activity.,800w,conditional,Special Program in Medicine
231,University of Connecticut,please-briefly-share-the-influences-on-your-decision-to-5,Please briefly share the influences on your decision to pursue the,Activities & Impact,,,,,,,,,50,"Please briefly share the influences on your decision to pursue the field of dentistry, including shadowing experiences and other dental-related activities.",800w,conditional,Special Program in Dental Medicine
232,University of Connecticut,please-describe-your-interests-activities-hobbies-etc-6,"Please describe your interests, activities, hobbies, etc., outside the",Activities & Impact,Personal Statement,,,,,,,,40,"Please describe your interests, activities, hobbies, etc., outside the area of health sciences.",800w,conditional,Special Program in Dental Medicine
233,University of Connecticut,why-are-you-applying-to-the-special-program-in-dental,Why are you applying to the Special Program in Dental Medicine at the,Why Us,,,,,,,,,50,Why are you applying to the Special Program in Dental Medicine at the University of Connecticut?,800w,conditional,Special Program in Dental Medicine
234,University of Connecticut,please-discuss-why-you-are-applying-to-the-special,Please discuss why you are applying to the Special Program in Law and,,,,,,,,,,0,Please discuss why you are applying to the Special Program in Law and how you feel your undergraduate studies at UConn will further your interest in law.,800w,conditional,Special Program in Law
235,University of Connecticut,what-opportunities-or-events-have-you-experienced-which,What opportunities or events have you experienced which informed your,,Values,Contribution,,,,,,,0,What opportunities or events have you experienced which informed your interest in the study of law and what do you hope to contribute to the profession of ethical legal practice?,800w,conditional,Special Program in Law
236,University of Massachusetts Amherst,commonwealth-honors-college-is-a-community-in-which,Commonwealth Honors College is a community in which students examine,Why Us,Why Major,Community,Personal Statement,,,,,,40,"Commonwealth Honors College is a community in which students examine complex questions, learn across differences, and connect their academic interests to the world around them. What is one perspective, experience, or question you would bring to this community, and how would you hope to develop it at UMass Amherst?",100w,conditional,Commonwealth Honors College
237,University of Massachusetts Amherst,the-umass-amherst-dance-program-and-its-faculty-support,The UMass Amherst Dance Program and its faculty support divergent and,Community,Background & Identity,Personal Statement,Intellectual Curiosity,,,,,,40,"The UMass Amherst Dance Program and its faculty support divergent and individualized pathways in dance, specifically across the areas of dance performance and composition, dance education and community engagement, and dance science and applications in research. In uniquely considering your intended career trajectory in dance, please provide a personal statement of 350-500 words. Share with us your passions, dreams, interests, and goals that connect to dance and those that are outside your current experiences in dance. Your personal statement should respond to the following: What interests and background in dance will you bring to the program? Which aspects of the program, its faculty expertise, and overall programmatic offerings do you foresee will prepare you for ""the dance career of tomorrow"" and support your unique pathway in this field?",500w,conditional,Dance BA or BFA
238,University of Massachusetts Amherst,slideroom-provides-fields-for-applicants-to-enter,SlideRoom provides fields for applicants to enter important information,,Course,,,,,,,,0,"SlideRoom provides fields for applicants to enter important information about your artwork (including title, media, size, date completed) and a description. The Title field is required; if your piece does not have a title, enter ""untitled"". The other fields are optional, and are an opportunity to provide information to help us understand your work. If your work was an assignment, use the Description field to describe the assignment and how you interpreted it to arrive at your result.",The source states no word or character limit.,optional,
239,University of Massachusetts Amherst,prepare-a-brief-personal-statement-approx,Prepare a brief personal statement (approx,,,,,,,,,,0,Prepare a brief personal statement (approx. 500 words) that describes previous musical experiences and explains the student's interest in Music History.,500w,conditional,BA Music — Music History
240,University of Massachusetts Amherst,students-must-submit-an-academic-writing-sample-of-7,Students must submit an academic writing sample of 7 pages or more,,,,,,,,,,0,"Students must submit an academic writing sample of 7 pages or more, preferably on a musical subject.",Limit: 7 pages.,conditional,BA Music — Music History
241,University of Massachusetts Amherst,prepare-a-brief-personal-statement-approx-9,Prepare a brief personal statement (approx,,,,,,,,,,0,Prepare a brief personal statement (approx. 500 words) that describes previous musical experiences and explains the student's interest in Music Theory.,500w,conditional,BA Music — Music Theory
242,University of Miami,write-a-short-2-3-paragraph-essay-about-what-is,Write a short (2-3 paragraph) essay about what is distinctly appealing,,,,,,,,,,0,Write a short (2-3 paragraph) essay about what is distinctly appealing to you about the Frost degree program to which you're applying.,Limit: 3 paragraphs.,conditional,All undergraduate Frost degree programs
243,University of Miami,include-a-brief-note-or-caption-for-each-item,"Include a brief note or caption for each item describing your role, the",,,,,,,,,,0,"Include a brief note or caption for each item describing your role, the tools used, and what you learned.",The source states no word or character limit.,conditional,Music Engineering and Audio Technology
244,University of Michigan,choose-a-current-event-or-issue-in-your-community-and,Choose a current event or issue in your community and discuss the,Community,Personal Statement,Creativity,,,,,,,40,"Choose a current event or issue in your community and discuss the business implications. Propose a solution that incorporates business principles or practices. The review panel will look for creativity, drawing connections, and originality.",500w,conditional,BBA
245,University of Michigan,describe-how-your-artifact-demonstrates-your-learning,Describe how your artifact demonstrates your learning in action,,,,,,,,,,0,Describe how your artifact demonstrates your learning in action.,250w,conditional,BBA
246,University of Michigan,why-did-i-create-this,Why did I create this,,,,,,,,,,0,Why did I create this?,The source states no word or character limit.,conditional,BFA/BA and Interarts Performance first-year applicants
247,University of Michigan,a-personal-statement-indicating-how-your-life,"a personal statement indicating how your life experiences, including",,,,,,,,,,0,"a personal statement indicating how your life experiences, including geographical, financial, educational or other opportunities or challenges, motivated your decision to pursue a composition degree at the University of Michigan.",The source states no word or character limit.,conditional,Composition
248,University of Michigan,personal-statement-indicating-how-your-life-experiences,"Personal statement indicating how your life experiences, including",,,,,,,,,,0,"Personal statement indicating how your life experiences, including geographical, financial, educational or other opportunities or challenges, motivated your decision to pursue a dance degree at the University of Michigan.",The source states no word or character limit.,conditional,Dance
249,University of Michigan,two-2-academic-writing-samples-one-of-which-should,"Two (2) academic writing samples, one of which should focus on music",,,,,,,,,,0,"Two (2) academic writing samples, one of which should focus on music.",The source states no word or character limit.,conditional,Bachelor of Arts in Music
250,University of Michigan,short-answer-one-paragraph-explaining-your-interest-in,Short answer (one paragraph) explaining your interest in the BA in Music,Short Answer,Values,Service,,,,,,,50,Short answer (one paragraph) explaining your interest in the BA in Music. This will serve as your Statement of Purpose.,Limit: 1 paragraph.,conditional,Bachelor of Arts in Music
251,University of Michigan,provide-a-personal-statement-of-approximately-500-words,Provide a personal statement of approximately 500 words outlining the,,,,,,,,,,0,"Provide a personal statement of approximately 500 words outlining the reasons you wish to pursue the BMA in Multidisciplinary Studies and how you would integrate your studies in the School of Music, Theatre & Dance with an additional area of academic focus. As part of your statement please also detail any musical or academic subjects or topics that are of particular interest to you or coursework that you hope to pursue as part of your studies.",500w,conditional,BMA in Multidisciplinary Studies
252,University of Michigan,share-a-time-when-you-faced-a-significant-challenge-in,Share a time when you faced a significant challenge in your artistic,,Creativity,,,,,,,,0,"Share a time when you faced a significant challenge in your artistic journey. What did you learn from this experience, and how did it shape you as a performer?",500w,conditional,Musical Theatre
253,University of Michigan,musical-theatre-is-an-art-form-that-often-intersects,Musical Theatre is an art form that often intersects with societal,,,,,,,,,,0,Musical Theatre is an art form that often intersects with societal issues. Discuss a musical that you believe effectively addresses a current social issue and explain why it resonates with you.,500w,conditional,Musical Theatre
254,University of Michigan,what-would-it-look-like-if-you-were-to-create-a-musical,What would it look like if you were to create a musical that,,,,,,,,,,0,"What would it look like if you were to create a musical that encapsulates your life story? Discuss the overall theme, musical style, and central message.",500w,conditional,Musical Theatre
255,University of Michigan,write-a-personal-statement-300-words-maximum-describing,Write a personal statement (300 words maximum) describing your reasons,Community,Personal Statement,Contribution,,,,,,,40,"Write a personal statement (300 words maximum) describing your reasons for choosing to pursue studies in Performing Arts Technology. Discuss what you hope to gain that you wouldn’t otherwise be able to, as well as what your unique contributions to the PAT community would be.",300w,conditional,Performing Arts Technology
256,University of Michigan,describe-in-detail-300-words-maximum-a-dream-project,Describe in detail (300 words maximum) a ‘dream project’ you would like,,Values,Course,Goals & Future,,,,,,0,"Describe in detail (300 words maximum) a ‘dream project’ you would like to accomplish during your time in the PAT program. In your response, consider how the project aligns with your long-term aspirations in music and the field of performing arts technology. Discuss specific classes, skills, or features of the program that would enable you to go beyond your current abilities to accomplish this project. Feel free to speculate on the future of music, envision your purpose within that future, and explore how you might push the boundaries of what is possible with current technology.",300w,conditional,Performing Arts Technology
257,University of Michigan,provide-a-sample-essay-300-words-maximum-that-responds,Provide a sample essay (300 words maximum) that responds to either,Why Us,Personal Statement,,,,,,,,40,"Provide a sample essay (300 words maximum) that responds to either TransCraniumExpress by Kyle Bruckmann or minipops 67 [120.2][source field mix] by Aphex Twin. Whichever piece you select, describe your response to hearing the piece, and what features of the music you think prompted that particular response. Describe the aesthetic and technical qualities of the piece that distinguish it from other music you have heard, or that relate it to other music with which you are familiar.",300w,conditional,Performing Arts Technology
258,University of Michigan,for-each-of-items-4-7-provide-an-additional-paragraph,"For each of items 4–7, provide an additional paragraph that describes",Community,Personal Statement,Contribution,Collaboration,,,,,,40,"For each of items 4–7, provide an additional paragraph that describes the equipment, software tools, and techniques used, as well as your motivation for the work. For collaborative work, clearly indicate what your specific contributions were.",Limit: 1 paragraph.,conditional,Performing Arts Technology
259,University of Michigan,please-disclose-and-describe-any-generative-ai-tools,Please disclose and describe any generative AI tools (including,,Creativity,,,,,,,,0,"Please disclose and describe any generative AI tools (including translation) used in creating any of the portfolio items. For items 1–3, include a brief statement on AI use at the end of each item. For items 4–7, discuss any AI tools you used in your paragraph description of each piece.",The source states no word or character limit.,conditional,Performing Arts Technology
260,University of Michigan,write-a-one-page-statement-explaining-your-previous,Write a one-page statement explaining your previous experience with the,Why Us,Why Major,Personal Statement,Intellectual Curiosity,,,,,,40,"Write a one-page statement explaining your previous experience with the theatre and why you are seeking admission to the BTA program. Why is the BTA the best fit for you? We encourage you to discuss specific aspects of our program and university that will support your interests and career goals (for example, courses, degree concentrations, professors, student organizations, alumni, context within a research university and/or a school dedicated to the performing arts).",Limit: 1 page.,conditional,Bachelor of Theatre Arts
261,University of Michigan,write-a-two-page-essay-reviewing-or-analyzing-an,Write a two-page essay reviewing or analyzing an artistic work (e.g.,,Creativity,,,,,,,,0,"Write a two-page essay reviewing or analyzing an artistic work (e.g., play, musical, movie, theatrical production, spoken-word performance, music video, dance work, opera, etc.) that you have read, watched, or attended. Consider discussing (for example) character development, major ideas or themes, political or social context, music or sound design, movement, technology, scenic or costume design.",Limit: 2 pages.,conditional,Bachelor of Theatre Arts
262,University of Michigan,using-one-of-the-four-poems-below-as-inspiration-write,"Using one of the four poems below as inspiration, write a two-page",,,,,,,,,,0,"Using one of the four poems below as inspiration, write a two-page story or narrative featuring the poem’s narrator as the “main character”: 1. Reginald Dwayne Betts, “Legacy” 2. Darius V. Daughtry, “Poetry is a One Hour Forty-Three Minute Playlist” from And the Walls Came Tumbling (2019) 3. Claudia Rankin, excerpt from part IV of Citizen: An American Lyric 4. Alice Walker, “Expect Nothing”",Limit: 2 pages.,optional,
263,University of Michigan,why-michigan-tell-us-why-you-want-to-attend-the,Why Michigan?” – Tell us why you want to attend the University of,Why Us,,,,,,,,,67,“Why Michigan?” – Tell us why you want to attend the University of Michigan. You are permitted to re-use an essay from your Common Application that answers this same question.,Limit: 2 pages.,optional,umich-acting-essay
264,University of Michigan,why-theatre-at-michigan-describe-your-reasons-for,Why Theatre at Michigan?” – Describe your reasons for choosing,Why Us,Personal Statement,,,,,,,,40,"“Why Theatre at Michigan?” – Describe your reasons for choosing performance training at Michigan and a theatre career. This may include goals, professional ambitions, and ideas about the field itself.",Limit: 2 pages.,optional,umich-acting-essay
265,University of Michigan,upload-a-short-essay-describing-reasons-for-choosing,Upload a short essay describing reasons for choosing directing training,,,,,,,,,,0,"Upload a short essay describing reasons for choosing directing training at Michigan and a theatre career. This may include goals, professional ambitions, and ideas about the field itself.",Limit: 2 pages.,conditional,Theatre & Drama: Directing
266,University of Michigan,upload-a-short-essay-describing-reasons-for-choosing-a,Upload a short essay describing reasons for choosing a career in,,,,,,,,,,0,"Upload a short essay describing reasons for choosing a career in theatre and training at Michigan. This may include goals, professional ambitions, and ideas about the field itself.",Limit: 2 pages.,conditional,Theatre & Drama: Design & Production
